domain,rtt_p50_ms,rtt_p90_ms,rtt_p95_ms,rtt_p99_ms,count_total,count_success,success_rate_pct,dataset
www.edu-servers.net,19.901,19.901,19.901,19.901,1,1,100.0,dns_cf_do53.csv
www.tiktokglobalshopv.com,21.448,21.448,21.448,21.448,1,1,100.0,dns_cf_do53.csv
www.topdns.com,22.158,22.158,22.158,22.158,1,1,100.0,dns_cf_do53.csv
www.panasonic.com,22.179,22.179,22.179,22.179,1,1,100.0,dns_cf_do53.csv
www.kpmg.com,22.449,22.449,22.449,22.449,1,1,100.0,dns_cf_do53.csv
www.samba.tv,22.606,22.606,22.606,22.606,1,1,100.0,dns_cf_do53.csv
www.anthropic.com,23.377,23.377,23.377,23.377,1,1,100.0,dns_cf_do53.csv
www.consumerreports.org,23.764,23.764,23.764,23.764,1,1,100.0,dns_cf_do53.csv
www.ex.co,23.99,23.99,23.99,23.99,1,1,100.0,dns_cf_do53.csv
www.register.com,24.32,24.32,24.32,24.32,1,1,100.0,dns_cf_do53.csv
www.org.ru,25.895,25.895,25.895,25.895,1,1,100.0,dns_cf_do53.csv
www.tvinteractive.tv,26.43,26.43,26.43,26.43,1,1,100.0,dns_cf_do53.csv
www.msi.com,26.624,26.624,26.624,26.624,1,1,100.0,dns_cf_do53.csv
www.bigolive.tv,27.649,27.649,27.649,27.649,1,1,100.0,dns_cf_do53.csv
www.yotpo.com,27.897,27.897,27.897,27.897,1,1,100.0,dns_cf_do53.csv
www.hola.org,28.033,28.033,28.033,28.033,1,1,100.0,dns_cf_do53.csv
www.comodoca.com,28.46,28.46,28.46,28.46,1,1,100.0,dns_cf_do53.csv
www.cpan.org,28.656,28.656,28.656,28.656,1,1,100.0,dns_cf_do53.csv
www.saby.ru,28.931,28.931,28.931,28.931,1,1,100.0,dns_cf_do53.csv
www.acuityplatform.com,29.547,29.547,29.547,29.547,1,1,100.0,dns_cf_do53.csv
www.aibixby.com,30.385,30.385,30.385,30.385,1,1,100.0,dns_cf_do53.csv
www.pphosted.com,33.947,33.947,33.947,33.947,1,1,100.0,dns_cf_do53.csv
www.uspto.gov,35.318,35.318,35.318,35.318,1,1,100.0,dns_cf_do53.csv
www.bunny.net,47.425,47.425,47.425,47.425,1,1,100.0,dns_cf_do53.csv
www.intercomcdn.com,53.447,53.447,53.447,53.447,1,1,100.0,dns_cf_do53.csv
www.ifood.com.br,57.014,57.014,57.014,57.014,1,1,100.0,dns_cf_do53.csv
www.fortinet.com,61.388,61.388,61.388,61.388,1,1,100.0,dns_cf_do53.csv
www.dmoz.org,71.194,71.194,71.194,71.194,1,1,100.0,dns_cf_do53.csv
www.appdomain.cloud,118.043,118.043,118.043,118.043,1,1,100.0,dns_cf_do53.csv
www.apptentive.com,124.386,124.386,124.386,124.386,1,1,100.0,dns_cf_do53.csv
www.myanimelist.net,127.587,127.587,127.587,127.587,1,1,100.0,dns_cf_do53.csv
www.crunchbase.com,169.545,169.545,169.545,169.545,1,1,100.0,dns_cf_do53.csv
www.parsely.com,171.705,171.705,171.705,171.705,1,1,100.0,dns_cf_do53.csv
www.thoughtco.com,173.307,173.307,173.307,173.307,1,1,100.0,dns_cf_do53.csv
www.icndns.net,178.787,178.787,178.787,178.787,1,1,100.0,dns_cf_do53.csv
www.calameo.com,179.122,179.122,179.122,179.122,1,1,100.0,dns_cf_do53.csv
www.ning.com,182.212,182.212,182.212,182.212,1,1,100.0,dns_cf_do53.csv
www.sharepointonline.com,196.18,196.18,196.18,196.18,1,1,100.0,dns_cf_do53.csv
www.rs6.net,208.467,208.467,208.467,208.467,1,1,100.0,dns_cf_do53.csv
www.mosyle.com,248.352,248.352,248.352,248.352,1,1,100.0,dns_cf_do53.csv
www.ctrip.com,367.028,367.028,367.028,367.028,1,1,100.0,dns_cf_do53.csv
www.mimecast.com,381.586,381.586,381.586,381.586,1,1,100.0,dns_cf_do53.csv
www.weplayapp.com,396.378,396.378,396.378,396.378,1,1,100.0,dns_cf_do53.csv
www.iikoweb.eu,500.082,500.082,500.082,500.082,1,1,100.0,dns_cf_do53.csv
www.tsinghua.edu.cn,771.084,771.084,771.084,771.084,1,1,100.0,dns_cf_do53.csv
www.qianxun.com,842.385,842.385,842.385,842.385,1,1,100.0,dns_cf_do53.csv
www.navy.mil,1155.334,1155.334,1155.334,1155.334,1,1,100.0,dns_cf_do53.csv
www.cpi.ad.jp,1790.975,1790.975,1790.975,1790.975,1,1,100.0,dns_cf_do53.csv
www.miitbeian.gov.cn,2641.328,2641.328,2641.328,2641.328,1,1,100.0,dns_cf_do53.csv
www.digicert.com,20.213,20.213,20.213,20.213,1,1,100.0,dns_cf_do53_top.csv
www.icloud.com,20.411,20.411,20.411,20.411,1,1,100.0,dns_cf_do53_top.csv
www.microsoftonline.com,20.598,20.598,20.598,20.598,1,1,100.0,dns_cf_do53_top.csv
www.aaplimg.com,20.691,20.691,20.691,20.691,1,1,100.0,dns_cf_do53_top.csv
www.amazonaws.com,20.693,20.693,20.693,20.693,1,1,100.0,dns_cf_do53_top.csv
www.wordpress.org,20.757,20.757,20.757,20.757,1,1,100.0,dns_cf_do53_top.csv
www.akamaiedge.net,20.789,20.789,20.789,20.789,1,1,100.0,dns_cf_do53_top.csv
www.netflix.com,20.889,20.889,20.889,20.889,1,1,100.0,dns_cf_do53_top.csv
www.dzen.ru,21.242,21.242,21.242,21.242,1,1,100.0,dns_cf_do53_top.csv
www.amazon.com,21.694,21.694,21.694,21.694,1,1,100.0,dns_cf_do53_top.csv
www.gstatic.com,22.683,22.683,22.683,22.683,1,1,100.0,dns_cf_do53_top.csv
www.fastly.net,22.726,22.726,22.726,22.726,1,1,100.0,dns_cf_do53_top.csv
www.14emeliaterracewestroxburyma02132.su,23.525,23.525,23.525,23.525,1,1,100.0,dns_cf_do53_top.csv
www.youtube.com,23.535,23.535,23.535,23.535,1,1,100.0,dns_cf_do53_top.csv
www.akamai.net,24.322,24.322,24.322,24.322,1,1,100.0,dns_cf_do53_top.csv
www.googleapis.com,25.6,25.6,25.6,25.6,1,1,100.0,dns_cf_do53_top.csv
www.e2ro.com,26.394,26.394,26.394,26.394,1,1,100.0,dns_cf_do53_top.csv
www.pinterest.com,26.555,26.555,26.555,26.555,1,1,100.0,dns_cf_do53_top.csv
www.gtld-servers.net,26.678,26.678,26.678,26.678,1,1,100.0,dns_cf_do53_top.csv
www.github.com,26.713,26.713,26.713,26.713,1,1,100.0,dns_cf_do53_top.csv
www.akadns.net,26.863,26.863,26.863,26.863,1,1,100.0,dns_cf_do53_top.csv
www.googlevideo.com,26.872,26.872,26.872,26.872,1,1,100.0,dns_cf_do53_top.csv
www.windowsupdate.com,26.946,26.946,26.946,26.946,1,1,100.0,dns_cf_do53_top.csv
www.apple-dns.net,27.0,27.0,27.0,27.0,1,1,100.0,dns_cf_do53_top.csv
www.googletagmanager.com,27.717,27.717,27.717,27.717,1,1,100.0,dns_cf_do53_top.csv
www.googleusercontent.com,27.791,27.791,27.791,27.791,1,1,100.0,dns_cf_do53_top.csv
www.youtu.be,27.913,27.913,27.913,27.913,1,1,100.0,dns_cf_do53_top.csv
www.bing.com,27.942,27.942,27.942,27.942,1,1,100.0,dns_cf_do53_top.csv
www.twitter.com,28.107,28.107,28.107,28.107,1,1,100.0,dns_cf_do53_top.csv
www.linkedin.com,28.193,28.193,28.193,28.193,1,1,100.0,dns_cf_do53_top.csv
www.microsoft.com,28.193,28.193,28.193,28.193,1,1,100.0,dns_cf_do53_top.csv
www.domaincontrol.com,28.195,28.195,28.195,28.195,1,1,100.0,dns_cf_do53_top.csv
www.workers.dev,28.591,28.591,28.591,28.591,1,1,100.0,dns_cf_do53_top.csv
www.fbcdn.net,28.821,28.821,28.821,28.821,1,1,100.0,dns_cf_do53_top.csv
www.ax-msedge.net,29.11,29.11,29.11,29.11,1,1,100.0,dns_cf_do53_top.csv
www.wikipedia.org,29.151,29.151,29.151,29.151,1,1,100.0,dns_cf_do53_top.csv
www.googlesyndication.com,29.268,29.268,29.268,29.268,1,1,100.0,dns_cf_do53_top.csv
www.doubleclick.net,29.731,29.731,29.731,29.731,1,1,100.0,dns_cf_do53_top.csv
www.whatsapp.net,29.84,29.84,29.84,29.84,1,1,100.0,dns_cf_do53_top.csv
www.instagram.com,30.905,30.905,30.905,30.905,1,1,100.0,dns_cf_do53_top.csv
www.apple.com,31.121,31.121,31.121,31.121,1,1,100.0,dns_cf_do53_top.csv
www.cloudflare.com,32.926,32.926,32.926,32.926,1,1,100.0,dns_cf_do53_top.csv
www.facebook.com,35.533,35.533,35.533,35.533,1,1,100.0,dns_cf_do53_top.csv
www.office.net,45.062,45.062,45.062,45.062,1,1,100.0,dns_cf_do53_top.csv
www.office.com,47.556,47.556,47.556,47.556,1,1,100.0,dns_cf_do53_top.csv
www.azure.com,51.025,51.025,51.025,51.025,1,1,100.0,dns_cf_do53_top.csv
www.appsflyersdk.com,52.596,52.596,52.596,52.596,1,1,100.0,dns_cf_do53_top.csv
www.live.com,52.663,52.663,52.663,52.663,1,1,100.0,dns_cf_do53_top.csv
www.t-msedge.net,53.151,53.151,53.151,53.151,1,1,100.0,dns_cf_do53_top.csv
www.mail.ru,225.329,225.329,225.329,225.329,1,1,100.0,dns_cf_do53_top.csv
